,temperature,windspeed
2010-05-01 08:10:00,500.92692836023105,80.83051028723546
2010-05-01 08:15:00,502.40646666819936,81.1867809057903
2010-05-01 08:20:00,503.8967210614029,81.50372850763658
2010-05-01 08:25:00,505.3976915398416,81.78135309277427
2010-05-01 08:30:00,506.90937810351545,82.01965466120336
2010-05-01 08:35:00,508.42609921699415,82.25686430401005
2010-05-01 08:40:00,509.942173344847,82.53121311228051
2010-05-01 08:45:00,511.4576004870739,82.84270108601473
2010-05-01 08:50:00,512.9723806436751,83.19132822521273
2010-05-01 08:55:00,514.4865138146504,83.5770945298745
2010-05-01 09:00:00,516.0,84.0
2010-05-01 09:05:00,517.5128391997237,84.46004463558931
2010-05-01 09:10:00,519.0250314138216,84.95722843664237
2010-05-01 09:15:00,520.5365766422937,85.49155140315918
2010-05-01 09:20:00,522.04747488514,86.06301353513979
