time,value
2010-05-18 15:00:00,630
2010-05-18 16:00:00,631
2010-05-18 17:00:00,624
2010-05-18 18:00:00,612
2010-05-18 19:00:00,592
2010-05-18 20:00:00,566
2010-05-18 21:00:00,552
2010-05-18 22:00:00,541
2010-05-18 23:00:00,531
2010-05-19 00:00:00,521
2010-05-19 01:00:00,513
2010-05-19 02:00:00,506
2010-05-19 03:00:00,500
2010-05-19 04:00:00,495
2010-05-19 05:00:00,493
2010-05-19 06:00:00,503
2010-05-19 07:00:00,518
2010-05-19 08:00:00,535
2010-05-19 09:00:00,553
2010-05-19 10:00:00,572
2010-05-19 11:00:00,589
2010-05-19 12:00:00,605
2010-05-19 13:00:00,619
2010-05-19 14:00:00,628
2010-05-19 15:00:00,633
2010-05-19 16:00:00,634
2010-05-19 17:00:00,627
2010-05-19 18:00:00,615
2010-05-19 19:00:00,594
2010-05-19 20:00:00,569
2010-05-19 21:00:00,554
2010-05-19 22:00:00,543
2010-05-19 23:00:00,533
2010-05-20 00:00:00,523
2010-05-20 01:00:00,515
2010-05-20 02:00:00,508
2010-05-20 03:00:00,502
2010-05-20 04:00:00,497
2010-05-20 05:00:00,495
2010-05-20 06:00:00,505
2010-05-20 07:00:00,519
2010-05-20 08:00:00,536
2010-05-20 09:00:00,554
2010-05-20 10:00:00,574
2010-05-20 11:00:00,591
2010-05-20 12:00:00,607
2010-05-20 13:00:00,621
2010-05-20 14:00:00,630
2010-05-20 15:00:00,635
2010-05-20 16:00:00,636
2010-05-20 17:00:00,628
2010-05-20 18:00:00,616
2010-05-20 19:00:00,597
2010-05-20 20:00:00,572
2010-05-20 21:00:00,556
2010-05-20 22:00:00,546
2010-05-20 23:00:00,535
2010-05-21 00:00:00,525
2010-05-21 01:00:00,517
2010-05-21 02:00:00,510
2010-05-21 03:00:00,504
2010-05-21 04:00:00,499
2010-05-21 05:00:00,497
2010-05-21 06:00:00,507
2010-05-21 07:00:00,521
2010-05-21 08:00:00,539
2010-05-21 09:00:00,557
2010-05-21 10:00:00,576
2010-05-21 11:00:00,594
2010-05-21 12:00:00,609
2010-05-21 13:00:00,624
2010-05-21 14:00:00,633
2010-05-21 15:00:00,638
2010-05-21 16:00:00,639
2010-05-21 17:00:00,632
2010-05-21 18:00:00,619
2010-05-21 19:00:00,599
2010-05-21 20:00:00,574
2010-05-21 21:00:00,559
2010-05-21 22:00:00,548
2010-05-21 23:00:00,537
2010-05-22 00:00:00,528
2010-05-22 01:00:00,520
2010-05-22 02:00:00,512
2010-05-22 03:00:00,506
2010-05-22 04:00:00,501
2010-05-22 05:00:00,499
2010-05-22 06:00:00,509
2010-05-22 07:00:00,524
2010-05-22 08:00:00,541
2010-05-22 09:00:00,559
2010-05-22 10:00:00,578
2010-05-22 11:00:00,596
